date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,2017-11,0.0
2017-11-28,41,3,38,343,2017-11,134.25
2017-11-29,29,2,28,240,2017-11,120.02
2017-11-30,31,2,30,121,2017-11,98.15
2017-12-01,32,2,32,184,2017-12,184.73000000000002
2017-12-02,0,0,0,0,2017-12,0.0
2017-12-03,23,1,23,227,2017-12,76.38000000000001
2017-12-04,6,2,6,55,2017-12,14.959999999999999
2017-12-05,36,3,33,141,2017-12,179.6
2017-12-06,0,0,0,0,2017-12,0.0
2017-12-07,8,2,4,12,2017-12,32.2
2017-12-08,0,0,0,0,2017-12,0.0
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,76,3,71,645,2017-12,237.22000000000003
2017-12-11,0,0,0,0,2017-12,0.0
2017-12-12,0,0,0,0,2017-12,0.0
2017-12-13,0,0,0,0,2017-12,0.0
2017-12-14,0,0,0,0,2017-12,0.0
2017-12-15,0,0,0,0,2017-12,0.0
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,46,1,46,498,2017-12,81.33000000000001
2017-12-18,9,1,9,58,2017-12,41.5
2017-12-19,0,0,0,0,2017-12,0.0
2017-12-20,0,0,0,0,2017-12,0.0
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,0,0,0,0,2018-01,0.0
2018-01-02,0,0,0,0,2018-01,0.0
2018-01-03,0,0,0,0,2018-01,0.0
2018-01-04,38,1,38,495,2018-01,55.99
2018-01-05,125,3,121,1210,2018-01,501.1899999999999
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,0,0,0,0,2018-01,0.0
2018-01-08,0,0,0,0,2018-01,0.0
2018-01-09,0,0,0,0,2018-01,0.0
2018-01-10,44,3,44,306,2018-01,490.62
2018-01-11,0,0,0,0,2018-01,0.0
2018-01-12,0,0,0,0,2018-01,0.0
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,0,0,0,0,2018-01,0.0
2018-01-15,0,0,0,0,2018-01,0.0
2018-01-16,75,3,67,592,2018-01,249.66
2018-01-17,0,0,0,0,2018-01,0.0
2018-01-18,0,0,0,0,2018-01,0.0
2018-01-19,0,0,0,0,2018-01,0.0
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,0,0,0,0,2018-01,0.0
2018-01-22,0,0,0,0,2018-01,0.0
2018-01-23,29,2,29,273,2018-01,121.66
2018-01-24,0,0,0,0,2018-01,0.0
2018-01-25,0,0,0,0,2018-01,0.0
2018-01-26,0,0,0,0,2018-01,0.0
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,25,1,25,264,2018-01,45.910000000000004
2018-01-29,0,0,0,0,2018-01,0.0
2018-01-30,0,0,0,0,2018-01,0.0
2018-01-31,29,1,29,266,2018-01,99.84
2018-02-01,1,1,1,1,2018-02,51.0
2018-02-02,0,0,0,0,2018-02,0.0
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,50,1,50,476,2018-02,106.14999999999999
2018-02-05,0,0,0,0,2018-02,0.0
2018-02-06,159,5,146,1558,2018-02,384.03
2018-02-07,0,0,0,0,2018-02,0.0
2018-02-08,68,5,56,473,2018-02,305.15000000000003
2018-02-09,18,1,18,152,2018-02,112.49000000000001
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,0,0,0,0,2018-02,0.0
2018-02-12,0,0,0,0,2018-02,0.0
2018-02-13,0,0,0,0,2018-02,0.0
2018-02-14,0,0,0,0,2018-02,0.0
2018-02-15,0,0,0,0,2018-02,0.0
2018-02-16,0,0,0,0,2018-02,0.0
2018-02-17,0,0,0,0,2018-02,0.0
2018-02-18,0,0,0,0,2018-02,0.0
2018-02-19,1,1,1,2,2018-02,1.25
