date,revenue,purchases,total_views,unique_streams,unique_invoices
2017-11-28,13281.120000000281,2953,12922,1291,154
2017-11-29,13222.97000000031,3217,13650,1291,154
2017-11-30,12941.500000000246,2911,15243,1291,154
2017-12-01,9163.070000000029,2443,11652,1291,154
2017-12-02,1263.2800000000009,370,3101,1291,154
2017-12-03,6229.109999999952,1888,8096,1291,154
2017-12-04,12189.79000000019,2684,11202,1291,154
2017-12-05,8892.26999999999,2283,11906,1291,154
2017-12-06,10886.990000000053,2423,10071,1291,154
2017-12-07,10651.38000000005,2403,11572,1291,154
2017-12-08,4864.069999999974,1535,7902,1291,154
1970-01-01,0.0,0,0,0,0
2017-12-10,4568.1999999999825,1678,7685,1291,154
2017-12-11,19097.67000000029,3851,14845,1291,154
2017-12-12,9518.670000000011,1896,10331,1291,154
2017-12-13,15610.170000000273,3137,13689,1291,154
2017-12-14,6003.739999999948,1944,9346,1291,154
2017-12-15,9560.020000000062,1732,6557,1291,154
1970-01-01,0.0,0,0,0,0
2017-12-17,1811.5100000000054,573,3381,1291,154
2017-12-18,2650.7099999999955,576,2473,1291,154
2017-12-19,13254.540000000074,2032,5056,1291,154
2017-12-20,1580.2900000000013,328,1089,1291,154
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
1970-01-01,0.0,0,0,0,0
2018-01-01,1936.2600000000048,663,2993,1291,154
2018-01-02,3061.269999999997,938,5603,1291,154
2018-01-03,965.8500000000016,294,1994,1291,154
2018-01-04,2777.019999999998,846,6108,1291,154
2018-01-05,1893.6700000000042,533,3793,1291,154
1970-01-01,0.0,0,0,0,0
2018-01-07,1969.560000000007,676,4464,1291,154
2018-01-08,12781.810000000072,2605,7931,1291,154
2018-01-09,3535.1299999999956,1017,4806,1291,154
2018-01-10,7670.260000000009,1552,5034,1291,154
2018-01-11,11974.440000000066,2141,8905,1291,154
2018-01-12,1699.2700000000045,554,3715,1291,154
1970-01-01,0.0,0,0,0,0
2018-01-14,3438.3099999999854,1116,5700,1291,154
2018-01-15,8679.83000000001,1879,5934,1291,154
2018-01-16,7036.980999999999,1639,7538,1291,154
2018-01-17,4729.539999999989,1207,5001,1291,154
2018-01-18,3402.0599999999918,1095,5824,1291,154
2018-01-19,5207.340000000002,1186,5568,1291,154
1970-01-01,0.0,0,0,0,0
2018-01-21,3918.159999999978,1231,5560,1291,154
2018-01-22,6752.709999999972,1650,7339,1291,154
2018-01-23,12331.510000000086,1345,5821,1291,154
2018-01-24,6081.759999999987,1443,6878,1291,154
2018-01-25,3580.9199999999873,1182,7277,1291,154
2018-01-26,23937.59099999995,1207,6180,1291,154
1970-01-01,0.0,0,0,0,0
2018-01-28,3462.619999999986,1244,6146,1291,154
2018-01-29,5286.950999999987,1258,5185,1291,154
2018-01-30,2957.8999999999896,1040,5982,1291,154
2018-01-31,5672.7909999999865,1442,6276,1291,154
2018-02-01,4645.71999999997,1551,7915,1291,154
2018-02-02,4173.32999999999,1030,5383,1291,154
1970-01-01,0.0,0,0,0,0
2018-02-04,2059.9800000000027,742,2761,1291,154
