date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,2017-11,0.0
2017-11-28,0,0,0,0,2017-11,0.0
2017-11-29,23,2,22,240,2017-11,49.330000000000005
2017-11-30,0,0,0,0,2017-11,0.0
2017-12-01,22,1,22,195,2017-12,77.52000000000001
2017-12-02,0,0,0,0,2017-12,0.0
2017-12-03,0,0,0,0,2017-12,0.0
2017-12-04,0,0,0,0,2017-12,0.0
2017-12-05,51,1,51,51,2017-12,104.14999999999999
2017-12-06,0,0,0,0,2017-12,0.0
2017-12-07,0,0,0,0,2017-12,0.0
2017-12-08,0,0,0,0,2017-12,0.0
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,0,0,0,0,2017-12,0.0
2017-12-11,0,0,0,0,2017-12,0.0
2017-12-12,0,0,0,0,2017-12,0.0
2017-12-13,7,1,7,76,2017-12,37.25
2017-12-14,0,0,0,0,2017-12,0.0
2017-12-15,52,1,52,634,2017-12,116.01
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,0,0,0,0,2017-12,0.0
2017-12-18,0,0,0,0,2017-12,0.0
2017-12-19,0,0,0,0,2017-12,0.0
2017-12-20,0,0,0,0,2017-12,0.0
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,0,0,0,0,2018-01,0.0
2018-01-02,0,0,0,0,2018-01,0.0
2018-01-03,0,0,0,0,2018-01,0.0
2018-01-04,0,0,0,0,2018-01,0.0
2018-01-05,0,0,0,0,2018-01,0.0
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,0,0,0,0,2018-01,0.0
2018-01-08,2,1,2,7,2018-01,15.64
2018-01-09,0,0,0,0,2018-01,0.0
2018-01-10,0,0,0,0,2018-01,0.0
2018-01-11,0,0,0,0,2018-01,0.0
2018-01-12,9,2,8,85,2018-01,47.15
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,0,0,0,0,2018-01,0.0
2018-01-15,0,0,0,0,2018-01,0.0
2018-01-16,0,0,0,0,2018-01,0.0
2018-01-17,0,0,0,0,2018-01,0.0
2018-01-18,0,0,0,0,2018-01,0.0
2018-01-19,49,2,48,484,2018-01,90.42
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,0,0,0,0,2018-01,0.0
2018-01-22,0,0,0,0,2018-01,0.0
2018-01-23,91,2,90,966,2018-01,184.23999999999998
2018-01-24,0,0,0,0,2018-01,0.0
2018-01-25,0,0,0,0,2018-01,0.0
2018-01-26,0,0,0,0,2018-01,0.0
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,0,0,0,0,2018-01,0.0
2018-01-29,0,0,0,0,2018-01,0.0
2018-01-30,0,0,0,0,2018-01,0.0
2018-01-31,9,1,9,66,2018-01,41.5
2018-02-01,0,0,0,0,2018-02,0.0
2018-02-02,0,0,0,0,2018-02,0.0
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,0,0,0,0,2018-02,0.0
2018-02-05,0,0,0,0,2018-02,0.0
2018-02-06,0,0,0,0,2018-02,0.0
2018-02-07,0,0,0,0,2018-02,0.0
2018-02-08,0,0,0,0,2018-02,0.0
2018-02-09,0,0,0,0,2018-02,0.0
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,0,0,0,0,2018-02,0.0
2018-02-12,0,0,0,0,2018-02,0.0
2018-02-13,0,0,0,0,2018-02,0.0
2018-02-14,0,0,0,0,2018-02,0.0
2018-02-15,59,4,58,681,2018-02,1091.53
2018-02-16,0,0,0,0,2018-02,0.0
2018-02-17,0,0,0,0,2018-02,0.0
2018-02-18,0,0,0,0,2018-02,0.0
2018-02-19,0,0,0,0,2018-02,0.0
2018-02-20,0,0,0,0,2018-02,0.0
2018-02-21,4,1,4,35,2018-02,10.17
