date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,2017-11,0.0
2017-11-28,2953,154,1291,12922,2017-11,13281.120000000003
2017-11-29,3217,125,1389,13650,2017-11,13222.970000000001
2017-11-30,2911,144,1318,15243,2017-11,12941.5
2017-12-01,2443,100,1221,11652,2017-12,9163.07
2017-12-02,370,31,263,3101,2017-12,1263.28
2017-12-03,1888,87,964,8096,2017-12,6229.110000000001
2017-12-04,2684,110,1301,11202,2017-12,12189.79
2017-12-05,2283,157,1151,11906,2017-12,8892.27
2017-12-06,2423,108,1292,10071,2017-12,10886.990000000002
2017-12-07,2403,116,1192,11572,2017-12,10651.380000000001
2017-12-08,1535,117,875,7902,2017-12,4864.07
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,1678,71,935,7685,2017-12,4568.200000000001
2017-12-11,3851,113,1568,14845,2017-12,19097.67
2017-12-12,1896,119,1000,10331,2017-12,9518.670000000002
2017-12-13,3137,101,1409,13689,2017-12,15610.170000000002
2017-12-14,1944,157,1062,9346,2017-12,6003.74
2017-12-15,1732,71,1011,6557,2017-12,9560.02
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,573,37,418,3381,2017-12,1811.51
2017-12-18,576,49,427,2473,2017-12,2650.71
2017-12-19,2032,202,1136,5056,2017-12,13254.54
2017-12-20,328,29,286,1089,2017-12,1580.29
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,663,68,520,2993,2018-01,1936.2600000000002
2018-01-02,938,46,634,5603,2018-01,3061.2700000000004
2018-01-03,294,14,250,1994,2018-01,965.8499999999999
2018-01-04,846,78,586,6108,2018-01,2777.0200000000004
2018-01-05,533,41,380,3793,2018-01,1893.67
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,676,36,475,4464,2018-01,1969.56
2018-01-08,2605,63,1057,7931,2018-01,12781.81
2018-01-09,1017,60,730,4806,2018-01,3535.13
2018-01-10,1552,51,892,5034,2018-01,7670.26
2018-01-11,2141,83,1022,8905,2018-01,11974.440000000002
2018-01-12,554,45,375,3715,2018-01,1699.27
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,1116,41,684,5700,2018-01,3438.3100000000004
2018-01-15,1879,48,993,5934,2018-01,8679.83
2018-01-16,1639,44,990,7538,2018-01,7036.981
2018-01-17,1207,74,809,5001,2018-01,4729.54
2018-01-18,1095,85,712,5824,2018-01,3402.0600000000004
2018-01-19,1186,66,766,5568,2018-01,5207.34
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,1231,51,685,5560,2018-01,3918.16
2018-01-22,1650,69,905,7339,2018-01,6752.710000000001
2018-01-23,1345,124,783,5821,2018-01,12331.509999999998
2018-01-24,1443,82,835,6878,2018-01,6081.76
2018-01-25,1182,78,724,7277,2018-01,3580.92
2018-01-26,1207,81,717,6180,2018-01,23937.591000000004
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,1244,53,723,6146,2018-01,3462.62
2018-01-29,1258,71,795,5185,2018-01,5286.951
2018-01-30,1040,53,670,5982,2018-01,2957.9
2018-01-31,1442,143,899,6276,2018-01,5672.791
2018-02-01,1551,139,878,7915,2018-02,4645.72
2018-02-02,1030,145,686,5383,2018-02,4173.33
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,742,31,517,2761,2018-02,2059.98
2018-02-05,1204,64,738,5245,2018-02,4642.32
2018-02-06,784,47,543,4454,2018-02,2815.79
2018-02-07,861,35,617,2764,2018-02,3983.1600000000003
2018-02-08,766,92,504,3959,2018-02,2480.8100000000004
2018-02-09,757,70,583,3570,2018-02,2792.81
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,1157,49,698,6119,2018-02,3437.55
