0299fbde-38db-4930-add4-d4e68e4f09a0,1584588317.5828626,|('2019-07-07', '2019-07-30')|,{'rmse': 22686.0},000:00:11,0.1,supervised learing model for time-series,True
8c0ea9df-7911-483b-b476-6d06a0f0a946,1584588328.061311,|('2019-07-02', '2019-07-22')|,{'rmse': 8452.0},000:00:10,0.1,supervised learing model for time-series,True
672eef13-0a7d-4b8c-88c9-4ab816c89785,1584589105.7385206,|(8, 7)|,all,2019-07-03 - 2019-07-24,{'rmse': 21159.0},000:00:10,0.1,supervised learing model for time-series
d6595622-fbdd-40ee-a8d5-e9c8589087ef,1584589116.1539223,|(8, 7)|,united_kingdom,2019-07-01 - 2019-07-30,{'rmse': 19506.0},000:00:10,0.1,supervised learing model for time-series
99dd334a-2cf5-4139-8d3e-c10b5a255023,1584589325.4848967,|(8, 7)|,all,2019-07-10 - 2019-07-25,{'rmse': 8413.0},000:00:10,0.1,supervised learing model for time-series
b51e4b9c-7aab-4b10-8c6f-92d92d6f36ea,1584589335.955337,|(8, 7)|,united_kingdom,2019-07-02 - 2019-07-28,{'rmse': 24581.0},000:00:10,0.1,supervised learing model for time-series
63b58642-22b6-4bd0-87d3-f6a54c0ad99e,1584589361.6936278,|(8, 7)|,all,2019-07-05 - 2019-07-30,{'rmse': 19071.0},000:00:10,0.1,supervised learing model for time-series
944e1a20-ba0f-4bd3-bbe9-6b0ca41d230a,1584589372.1440563,|(8, 7)|,united_kingdom,2019-07-02 - 2019-07-25,{'rmse': 18278.0},000:00:10,0.1,supervised learing model for time-series
f517687a-3eea-44f9-ad6d-16c222196506,1584589605.0203998,|(8, 7)|,all,2019-07-04 - 2019-07-30,{'rmse': 34760.0},000:00:10,0.1,supervised learing model for time-series
8ab198bc-58f0-4c43-9394-e46d851c96bb,1584589615.7190053,|(8, 7)|,united_kingdom,2019-07-02 - 2019-07-28,{'rmse': 34626.0},000:00:10,0.1,supervised learing model for time-series
409cf87a-7834-40ad-92eb-c506e2d90341,1584590076.1429677,|(26, 7)|,all,2019-07-01 - 2019-07-30,{'rmse': 19408.0},000:00:10,0.1,supervised learing model for time-series
